date,VTSMX,VBLTX,IEMG,VIX,VTI,MUB,VBR,SPTR,BND,VEA,VTV
20051230,25.4794143578,7.5117076931,30.156058994,12.07,51.891552802,75.2320453305,50.665987453,1887.941,54.688521071,28.1741466741,45.0962061058
20060103,25.8870849875,7.5117076931,31.1048600111,11.14,52.657324521,75.2320453305,51.6093482344,1918.959,54.742883418,28.9840306813,45.1828387058
20060104,26.0144820593,7.5180520408,31.6583272711,11.37,53.0402103805,75.2320453305,51.8931913014,1926.387,54.797245765,29.3767017151,45.7577641416
20060105,26.0229751974,7.5117076931,31.6425139208,11.31,53.0065500851,75.3017046318,51.9933712073,1926.439,54.797245765,29.3030758962,46.0097862505
20060106,26.2862624791,7.4990189977,32.0694743785,11,53.5282846629,75.3017046318,52.3606975293,1945.015,54.742883418,29.6712049904,46.1594243776
20060109,26.4051664128,7.49267465,32.3699280339,11.13,53.726038898,75.3017046318,52.8949903612,1952.129,54.742883418,29.6466630508,46.2696840503
20060110,26.422152689,7.4609529114,32.0852877288,10.86,53.8017745625,75.2320453305,53.2623166832,1951.53,54.634158724,29.3521597754,46.4350735592
20060111,26.5070840702,7.4355755206,32.3541146836,10.94,53.9532458915,75.2320453305,53.2372717067,1958.557,54.579796377,29.6221211112,46.6083387591
20060112,26.3372213078,7.4736416068,32.2434212316,11.2,53.6460956966,75.3017046318,52.8949903612,1946.281,54.688521071,29.4994114131,46.7185984317
20060113,26.3627007222,7.5307407363,32.3224879831,11.23,53.7050012134,75.4410232342,52.8532487337,1948.637,54.851608112,29.4748694735,46.5217061591
20060117,26.2692762028,7.5434294317,31.9904076271,11.91,53.5156620521,75.5106825355,52.6278439453,1941.568,54.905970459,29.0821984397,46.4035707956
20060118,26.1758516835,7.5307407363,31.5001937682,12.25,53.3515681124,75.5803418367,52.6361922708,1934.209,54.851608112,28.7386112852,46.1121702322
20060119,26.354207584,7.5117076931,32.1959811808,11.98,53.6418881597,75.5106825355,53.1955300792,1944.984,54.797245765,29.1558242586,46.3641923411
20060120,25.8870849875,7.5243963885,31.8480874745,14.56,52.6993998902,75.5106825355,52.4775740863,1909.346,54.851608112,28.6895274059,46.4271978683
20060123,25.9465369543,7.5243963885,32.0220343276,13.93,52.8550787561,75.5106825355,52.7781138042,1912.914,54.851608112,29.0821984397,45.7656398325
20060124,26.0569477499,7.4990189977,32.4806214859,13.31,53.014965159,75.5106825355,53.4459798442,1917.538,54.797245765,29.1558242586,45.9782834869
20060125,25.997495783,7.4292311728,32.7810751413,12.87,52.8971541253,75.3017046318,53.3791932402,1914.277,54.579796377,29.3030758962,46.1436729958
